"","game_str","play_id","pitch_time","exchange_time","pop_time","valid_steal","expected_cs","sb_entry_time","tb_entry_time","fielder_catch_time","pitcher","catcher","steal_with_average_catcher","steals_with_average_pitcher"
"1211","1884_120_Vis2AT_Home2A",94,0.462,1.353,2.079,0,1,NA,3363576,3363411,814,408,1,1
"1217","1884_122_Vis2AU_Home2A",44,0.6,0.65,1.5,1,0,NA,1319427,1319477,2010,5669,1,0
"1222","1884_122_Vis2AU_Home2A",88,0.45,0.7,1.9,NA,1,NA,NA,2759619,550,408,0,0
"1227","1884_122_Vis2AU_Home2A",151,0.45,1.1,2.4,1,0,4701469,NA,4701669,961,408,1,0
"1232","1884_123_Vis3AT_Home3A",107,0.55,0.65,1.8,1,0,3215357,NA,3215407,4796,5239,1,0
"1237","1884_123_Vis3AT_Home3A",250,0.55,0.75,1.8,0,1,8561062,NA,8560962,6443,5239,1,1
"1242","1884_124_Vis3AT_Home3A",72,0.55,0.6,1.8,0,0,2472165,NA,2472265,6871,5239,1,0
"1247","1884_128_Vis1BB_Home1A",30,0.55,0.65,1.85,1,0,1127208,NA,1127358,437,598,1,0
"1252","1884_128_Vis3AU_Home3A",70,0.55,0.7,1.9,0,1,2229664,NA,2229564,433,786,1,1
"1257","1884_129_Vis1BB_Home1A",136,0.5,0.8,2.05,1,0,4508181,NA,4508431,3308,7704,1,0
"1262","1884_130_Vis1BB_Home1A",41,0.528,0.627,1.782,0,1,1351932,NA,1351833,3743,8603,1,1
"1267","1884_130_Vis3AU_Home3A",29,0.45,0.75,1.95,0,1,NA,NA,882717,2042,3208,0,0
"1272","1884_130_Vis3AU_Home3A",79,0.55,0.75,2.05,1,0,2593492,NA,2593642,2042,3208,1,0
"1277","1884_130_Vis3AU_Home3A",122,0.45,0.6,1.9,0,1,4124734,NA,4124734,2042,3208,1,1
"1282","1884_130_Vis3AU_Home3A",159,0.45,0.65,1.8,0,1,5164834,NA,5164784,849,544,1,1
"1287","1884_130_Vis3AU_Home3A",183,0.45,0.7,1.6,1,0,NA,6036784,6037084,8736,3208,1,0
"1292","1884_130_Vis3AU_Home3A",242,0.5,0.75,1.6,1,1,8200584,8199884,8199834,8736,3208,1,1
"1297","1884_131_Vis1BB_Home1A",7,0.561,0.66,1.881,0,0,203870,NA,203903,364,953,1,0
"1302","1884_131_Vis1BB_Home1A",258,0.462,0.561,1.815,0,1,NA,NA,9092726,766,953,0,0
"1307","1884_131_Vis2AV_Home2A",179,0.5,0.65,1.9,1,0,5972957,NA,5973057,9000,8598,1,0
"1312","1884_132_Vis2AV_Home2A",25,0.5,0.8,2,0,1,826890,NA,826890,8318,2964,1,0
"1317","1884_134.5_Vis2AW_Home2A",38,0.55,0.95,2.25,1,0,1087427,1086627,1087377,4380,2765,1,1
"1322","1884_135_Vis1BC_Home1A",135,0.45,0.65,1.9,0,1,4785868,NA,4785868,583,953,1,1
"1327","1884_135_Vis2AW_Home2A",36,0.55,0.85,2.05,1,0,1059500,NA,1059950,9998,2765,1,0
"1332","1884_136_Vis1BC_Home1A",69,0.45,0.7,1.55,1,0,NA,2371340,2371540,364,598,1,0
"1337","1884_136_Vis1BC_Home1A",86,0.55,0.9,1.8,1,1,3086540,3085640,3085540,4121,3995,1,1
"1342","1884_136_Vis1BC_Home1A",167,0.5,0.7,1.8,0,1,6576982,NA,6576732,521,598,1,1
"1347","1884_136_Vis4BD_Home4A",14,0.45,0.75,1.6,0,1,NA,NA,360048,843,920,0,0
"1352","1884_137_Vis1BC_Home1A",72,0.561,0.66,1.881,0,0,2934882,NA,2935014,8870,4254,1,0
"1357","1884_138_Vis3AV_Home3A",90,0.5,0.65,2,1,0,2852338,NA,2852538,9863,6789,1,0
"1362","1884_139_Vis3AV_Home3A",181,0.5,0.7,1.55,1,1,NA,6955232,6952632,4833,6789,1,1
"1367","1884_142_Vis4BE_Home4A",97,0.5,0.65,2,1,0,3455659,NA,3455859,947,719,1,0
"1372","1884_143_Vis4BE_Home4A",251,0.45,0.55,1.8,1,1,NA,NA,8456950,6451,2771,0,0
